"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"c:\Files\RMS-site\backend\api\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\api\admin.py", "Python", 1, 0, 1, 2, 4
"c:\Files\RMS-site\backend\api\apps.py", "Python", 4, 0, 0, 3, 7
"c:\Files\RMS-site\backend\api\migrations\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\api\models.py", "Python", 1, 0, 1, 2, 4
"c:\Files\RMS-site\backend\api\tests.py", "Python", 1, 0, 1, 2, 4
"c:\Files\RMS-site\backend\api\urls.py", "Python", 6, 0, 0, 1, 7
"c:\Files\RMS-site\backend\api\views.py", "Python", 1, 0, 1, 2, 4
"c:\Files\RMS-site\backend\documentation\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\documentation\admin.py", "Python", 25, 0, 0, 3, 28
"c:\Files\RMS-site\backend\documentation\api\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\documentation\api\serializers.py", "Python", 14, 0, 0, 2, 16
"c:\Files\RMS-site\backend\documentation\api\urls.py", "Python", 8, 0, 2, 2, 12
"c:\Files\RMS-site\backend\documentation\api\views.py", "Python", 28, 0, 0, 5, 33
"c:\Files\RMS-site\backend\documentation\apps.py", "Python", 4, 0, 0, 3, 7
"c:\Files\RMS-site\backend\documentation\migrations\0001_initial.py", "Python", 39, 0, 1, 7, 47
"c:\Files\RMS-site\backend\documentation\migrations\0002_alter_documentation_updated_date.py", "Python", 12, 0, 1, 6, 19
"c:\Files\RMS-site\backend\documentation\migrations\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\documentation\models.py", "Python", 23, 0, 2, 6, 31
"c:\Files\RMS-site\backend\documentation\tests.py", "Python", 1, 0, 1, 2, 4
"c:\Files\RMS-site\backend\documentation\views.py", "Python", 1, 0, 1, 2, 4
"c:\Files\RMS-site\backend\employees\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\employees\admin.py", "Python", 46, 0, 2, 9, 57
"c:\Files\RMS-site\backend\employees\api\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\employees\api\permissions.py", "Python", 4, 0, 0, 1, 5
"c:\Files\RMS-site\backend\employees\api\serializers.py", "Python", 34, 0, 0, 7, 41
"c:\Files\RMS-site\backend\employees\api\urls.py", "Python", 8, 0, 2, 2, 12
"c:\Files\RMS-site\backend\employees\api\views.py", "Python", 25, 0, 0, 5, 30
"c:\Files\RMS-site\backend\employees\apps.py", "Python", 4, 0, 0, 3, 7
"c:\Files\RMS-site\backend\employees\migrations\0001_initial.py", "Python", 108, 0, 1, 7, 116
"c:\Files\RMS-site\backend\employees\migrations\0002_alter_clearancelevel_options_clearancelevel_number_and_more.py", "Python", 27, 0, 1, 6, 34
"c:\Files\RMS-site\backend\employees\migrations\0003_remove_clearancelevel_name_alter_division_department.py", "Python", 17, 0, 1, 6, 24
"c:\Files\RMS-site\backend\employees\migrations\0004_alter_position_options.py", "Python", 11, 0, 1, 6, 18
"c:\Files\RMS-site\backend\employees\migrations\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\employees\models.py", "Python", 67, 0, 7, 22, 96
"c:\Files\RMS-site\backend\employees\tests.py", "Python", 1, 0, 1, 2, 4
"c:\Files\RMS-site\backend\employees\views.py", "Python", 1, 0, 1, 2, 4
"c:\Files\RMS-site\backend\manage.py", "Python", 15, 0, 3, 5, 23
"c:\Files\RMS-site\backend\requirements.txt", "pip requirements", 0, 15, 0, 0, 15
"c:\Files\RMS-site\backend\research\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\research\admin.py", "Python", 29, 0, 0, 3, 32
"c:\Files\RMS-site\backend\research\api\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\research\api\serializers.py", "Python", 20, 0, 0, 3, 23
"c:\Files\RMS-site\backend\research\api\urls.py", "Python", 8, 0, 2, 2, 12
"c:\Files\RMS-site\backend\research\api\views.py", "Python", 31, 0, 0, 5, 36
"c:\Files\RMS-site\backend\research\apps.py", "Python", 4, 0, 0, 3, 7
"c:\Files\RMS-site\backend\research\migrations\0001_initial.py", "Python", 41, 0, 1, 7, 49
"c:\Files\RMS-site\backend\research\migrations\0002_alter_research_options_and_more.py", "Python", 25, 0, 1, 6, 32
"c:\Files\RMS-site\backend\research\migrations\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\research\models.py", "Python", 26, 0, 2, 6, 34
"c:\Files\RMS-site\backend\research\tests.py", "Python", 1, 0, 1, 2, 4
"c:\Files\RMS-site\backend\research\views.py", "Python", 1, 0, 1, 2, 4
"c:\Files\RMS-site\backend\secret_lab\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\secret_lab\asgi.py", "Python", 4, 0, 8, 5, 17
"c:\Files\RMS-site\backend\secret_lab\settings.py", "Python", 106, 0, 22, 35, 163
"c:\Files\RMS-site\backend\secret_lab\urls.py", "Python", 9, 0, 16, 2, 27
"c:\Files\RMS-site\backend\secret_lab\wsgi.py", "Python", 4, 0, 8, 5, 17
"Total", "-", 846, 15, 94, 231, 1186
